2016-06-27T22:26:59Z,1.12530855,Italy,4.4,8447.47,4.5,4089.69,Spain,2.24,22277.77,2.26,7091.59,The Draw,3,137232.78,3.05,180341.64
2016-06-27T22:27:01Z,1.125317176,England,1.5,233125.82,1.51,90765.55,Iceland,9.8,7416.12,10,5522.4,The Draw,4.2,29570.59,4.3,16310.9
2016-06-27T22:27:03Z,1.125363729,Poland,4.1,239.04,4.2,14928.65,Portugal,2.28,2172.53,2.3,1984.25,The Draw,3.1,1448.76,3.15,32382.65
2016-06-27T22:27:05Z,1.125368561,Wales,6,1425.81,6.2,418.81,Belgium,1.75,2613.08,1.76,177.27,The Draw,3.65,2185.15,3.7,5459.93
2016-06-27T22:27:09Z,1.12530855,Italy,4.4,8447.47,4.5,4089.69,Spain,2.24,22304.46,2.26,7228.67,The Draw,3,137238.51,3.05,180241.64
2016-06-27T22:27:11Z,1.125317176,England,1.5,232992.61,1.51,90375.77,Iceland,9.8,7412.56,10,5522.4,The Draw,4.2,29570.59,4.3,16310.9
2016-06-27T22:27:13Z,1.125363729,Poland,4.1,247.64,4.2,14928.65,Portugal,2.28,2172.53,2.3,1984.25,The Draw,3.1,1448.76,3.15,32393.86
2016-06-27T22:27:15Z,1.125368561,Wales,6,1425.81,6.2,418.81,Belgium,1.75,2613.08,1.76,177.27,The Draw,3.65,2185.15,3.7,5459.93
2016-06-27T22:27:19Z,1.12530855,Italy,4.4,9231.35,4.5,4084.01,Spain,2.24,22538.96,2.26,6090.07,The Draw,3,137232.78,3.05,180332.17
2016-06-27T22:27:21Z,1.125317176,England,1.5,233125.82,1.51,90767.59,Iceland,9.8,7416.12,10,5522.4,The Draw,4.2,29570.59,4.3,16310.9
2016-06-27T22:27:23Z,1.125363729,Poland,4.1,247.64,4.2,14928.65,Portugal,2.28,2172.53,2.3,1984.25,The Draw,3.1,1448.76,3.15,32393.86
2016-06-27T22:27:26Z,1.125368561,Wales,6,1425.81,6.2,418.81,Belgium,1.75,2613.08,1.76,177.27,The Draw,3.65,2185.15,3.7,5459.93
2016-06-27T22:27:31Z,1.12530855,Italy,4.4,8445.78,4.5,4089.69,Spain,2.24,22381.73,2.26,7091.59,The Draw,3,137232.78,3.05,180341.64
2016-06-27T22:27:32Z,1.125317176,England,1.5,232938.57,1.51,87914.85,Iceland,9.8,7412.56,10,5508.74,The Draw,4.2,29538.06,4.3,16310.9
2016-06-27T22:27:35Z,1.125363729,Poland,4.1,247.64,4.2,14928.65,Portugal,2.28,2172.53,2.3,1984.25,The Draw,3.1,1448.76,3.15,32393.86
2016-06-27T22:27:37Z,1.125368561,Wales,6,1425.81,6.2,418.81,Belgium,1.75,2613.08,1.76,177.27,The Draw,3.65,2185.15,3.7,5459.93
2016-06-27T22:27:44Z,1.12530855,Italy,4.4,8445.78,4.5,4089.69,Spain,2.24,22431.45,2.26,7026.46,The Draw,3,137232.78,3.05,180341.64
2016-06-27T22:27:46Z,1.125317176,England,1.5,232938.57,1.51,87914.85,Iceland,9.8,7412.56,10,5508.74,The Draw,4.2,29538.06,4.3,16310.9
2016-06-27T22:27:48Z,1.125363729,Poland,4.1,247.64,4.2,14928.65,Portugal,2.28,2172.53,2.3,1984.25,The Draw,3.1,1448.76,3.15,32393.86
2016-06-27T22:27:50Z,1.125368561,Wales,6,1425.81,6.2,418.81,Belgium,1.75,2613.08,1.76,177.27,The Draw,3.65,2185.15,3.7,5459.93
2016-06-27T22:27:53Z,1.12530855,Italy,4.4,9213.56,4.5,4084.01,Spain,2.24,22531.84,2.26,6072.36,The Draw,3,137232.78,3.05,180332.17
2016-06-27T22:27:55Z,1.125317176,England,1.5,232938.57,1.51,87914.85,Iceland,9.8,7412.56,10,5508.74,The Draw,4.2,29538.06,4.3,16310.9
2016-06-27T22:27:57Z,1.125363729,Poland,4.1,247.64,4.2,14928.65,Portugal,2.28,2172.53,2.3,1984.25,The Draw,3.1,1448.76,3.15,32393.86
2016-06-27T22:27:59Z,1.125368561,Wales,6,1425.81,6.2,418.81,Belgium,1.75,2613.08,1.76,177.27,The Draw,3.65,2185.15,3.7,5459.93
2016-06-27T22:28:03Z,1.12530855,Italy,4.4,9236.76,4.5,4096,Spain,2.24,22431.45,2.26,6137.07,The Draw,3,137232.78,3.05,180332.17
2016-06-27T22:28:05Z,1.125317176,England,1.5,233235.27,1.51,87914.85,Iceland,9.8,7412.56,10,5508.74,The Draw,4.2,29538.06,4.3,16310.9
