Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
2016-06-26T21:58:02Z,1.125363729,Poland,3.9,570.42,4,465.15,Portugal,2.36,558.66,2.4,7135.61,The Draw,3.05,94.91,3.1,16294.32,16294.32,100.8008%,-0.0079443
2016-06-26T21:58:06Z,1.125318341,France,1.54,97091.59,1.55,100029.18,Rep of Ireland,10,11563.13,10.5,29128.84,The Draw,3.95,2368.13,4,51970.91,51970.91,100.2515%,-0.0025089
2016-06-26T21:58:08Z,1.12531775,Germany,1.49,73922.87,1.5,28312.13,Slovakia,10.5,4869.34,11,6451.8,The Draw,4.2,4535.3,4.3,23088.17,23088.17,100.4474%,-0.0044543
2016-06-26T21:58:10Z,1.125318745,Hungary,7.2,3582.06,7.4,4204.69,Belgium,1.74,8823.88,1.75,2636.88,The Draw,3.45,1058.88,3.5,7691.94,7691.94,100.3457%,-0.0034447
2016-06-26T21:58:12Z,1.12530855,Italy,4.6,2591.89,4.7,1018.46,Spain,2.18,7292.84,2.2,3524.35,The Draw,3,79742.53,3.05,63584.81,63584.81,100.9440%,-0.0093519
2016-06-26T21:58:14Z,1.125317176,England,1.59,8180.98,1.6,8796.68,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3744.62,3.85,616.19,616.19,100.5725%,-0.0056925
2016-06-26T21:58:16Z,1.125363729,Poland,3.9,570.42,4,465.15,Portugal,2.36,558.66,2.4,7135.61,The Draw,3.05,94.91,3.1,16294.32,16294.32,100.8008%,-0.0079443
2016-06-26T21:58:19Z,1.125318341,France,1.53,165173.56,1.54,37721.44,Rep of Ireland,10,12166.93,10.5,25309.02,The Draw,3.95,7504.02,4,18438.55,18438.55,100.6759%,-0.0067139
2016-06-26T21:58:21Z,1.12531775,Germany,1.49,73843.19,1.5,27229.65,Slovakia,10.5,4869.34,11,6367.8,The Draw,4.2,4547.58,4.3,23048.17,23048.17,100.4474%,-0.0044543
2016-06-26T21:58:23Z,1.125318745,Hungary,7.2,3582.06,7.4,4204.69,Belgium,1.74,8823.88,1.75,2636.88,The Draw,3.45,1058.88,3.5,7691.94,7691.94,100.3457%,-0.0034447
2016-06-26T21:58:25Z,1.12530855,Italy,4.6,2588.24,4.7,1018.46,Spain,2.18,7292.84,2.2,3524.35,The Draw,3,79742.53,3.05,63584.81,63584.81,100.9440%,-0.0093519
2016-06-26T21:58:27Z,1.125317176,England,1.59,8180.98,1.6,8796.68,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3744.62,3.85,616.19,616.19,100.5725%,-0.0056925
2016-06-26T21:58:29Z,1.125363729,Poland,3.9,570.42,4,465.15,Portugal,2.36,558.66,2.4,7135.61,The Draw,3.05,94.91,3.1,16294.32,16294.32,100.8008%,-0.0079443
2016-06-26T21:58:33Z,1.125318341,France,1.54,124390.29,1.55,117375.75,Rep of Ireland,10,11623.99,10.5,31532.01,The Draw,3.95,9035.3,4,52048.81,52048.81,100.2515%,-0.0025089
2016-06-26T21:58:35Z,1.12531775,Germany,1.49,73843.19,1.5,28114.49,Slovakia,10.5,4869.34,11,6451.8,The Draw,4.2,4535.3,4.3,23088.17,23088.17,100.4474%,-0.0044543
2016-06-26T21:58:37Z,1.125318745,Hungary,7.2,3582.06,7.4,4204.69,Belgium,1.74,8823.88,1.75,2636.88,The Draw,3.45,1058.88,3.5,7691.94,7691.94,100.3457%,-0.0034447
2016-06-26T21:58:38Z,1.12530855,Italy,4.6,2588.24,4.7,1018.46,Spain,2.18,7292.84,2.2,3524.35,The Draw,3,79742.53,3.05,63584.81,63584.81,100.9440%,-0.0093519
2016-06-26T21:58:40Z,1.125317176,England,1.59,8180.98,1.6,8742.61,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3744.62,3.85,616.19,616.19,100.5725%,-0.0056925
2016-06-26T21:58:42Z,1.125363729,Poland,3.9,570.42,4,465.15,Portugal,2.36,558.66,2.4,7135.61,The Draw,3.05,94.91,3.1,16294.32,16294.32,100.8008%,-0.0079443
2016-06-26T21:58:46Z,1.125318341,France,1.54,134460.22,1.55,22256.02,Rep of Ireland,10,2873.84,10.5,27248.51,The Draw,3.9,19001.37,3.95,3916.81,3916.81,100.5761%,-0.0057279
2016-06-26T21:58:48Z,1.12531775,Germany,1.49,73477.99,1.5,26877.16,Slovakia,10.5,4869.34,11,6367.8,The Draw,4.2,4522.45,4.3,23048.17,23048.17,100.4474%,-0.0044543
2016-06-26T21:58:50Z,1.125318745,Hungary,7.2,3625.94,7.4,3711.02,Belgium,1.74,8813.87,1.76,19456.56,The Draw,3.4,14142.57,3.45,704.25,704.25,100.7719%,-0.0076601
2016-06-26T21:58:52Z,1.12530855,Italy,4.6,2591.89,4.7,1018.46,Spain,2.18,7292.84,2.2,3524.35,The Draw,3,79742.53,3.05,63584.81,63584.81,100.9440%,-0.0093519
2016-06-26T21:58:53Z,1.125317176,England,1.59,8180.98,1.6,8742.61,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3744.62,3.85,616.19,616.19,100.5725%,-0.0056925
2016-06-26T21:58:55Z,1.125363729,Poland,3.9,570.42,4,465.15,Portugal,2.36,558.66,2.4,7135.61,The Draw,3.05,94.91,3.1,16294.32,16294.32,100.8008%,-0.0079443
2016-06-26T21:58:59Z,1.125318341,France,1.54,145154.34,1.55,16724.59,Rep of Ireland,9.8,4457.98,10,970.55,The Draw,3.9,21373.27,3.95,5831.09,5831.09,100.7802%,-0.0077413
2016-06-26T21:59:01Z,1.12531775,Germany,1.49,73477.99,1.5,27025.13,Slovakia,10.5,4869.34,11,6367.8,The Draw,4.2,4575.3,4.3,23048.17,23048.17,100.4474%,-0.0044543
2016-06-26T21:59:03Z,1.125318745,Hungary,7.2,3625.94,7.4,3711.02,Belgium,1.74,8813.87,1.76,19456.56,The Draw,3.4,14142.57,3.45,704.25,704.25,100.7719%,-0.0076601
2016-06-26T21:59:05Z,1.12530855,Italy,4.6,2588.24,4.7,1018.46,Spain,2.18,7292.84,2.2,3524.35,The Draw,3,79742.53,3.05,63584.81,63584.81,100.9440%,-0.0093519
2016-06-26T21:59:07Z,1.125317176,England,1.59,8180.98,1.6,8742.61,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3744.62,3.85,616.19,616.19,100.5725%,-0.0056925
2016-06-26T21:59:08Z,1.125363729,Poland,3.9,570.42,4,465.15,Portugal,2.36,558.66,2.4,7135.61,The Draw,3.05,94.91,3.1,16294.32,16294.32,100.8008%,-0.0079443
2016-06-26T21:59:14Z,1.125318341,France,1.54,137317.46,1.55,12538.64,Rep of Ireland,10,3445.42,10.5,28482.09,The Draw,3.9,18885.07,3.95,5765.4,5765.4,100.5761%,-0.0057279
2016-06-26T21:59:16Z,1.12531775,Germany,1.49,73462.3,1.5,27296.51,Slovakia,10.5,4867.41,11,6367.8,The Draw,4.2,4607,4.3,23006.93,23006.93,100.4474%,-0.0044543
2016-06-26T21:59:17Z,1.125318745,Hungary,7.2,3049.28,7.4,3658.84,Belgium,1.74,8813.87,1.76,15910.26,The Draw,3.4,14142.57,3.45,833.42,833.42,100.7719%,-0.0076601
2016-06-26T21:59:19Z,1.12530855,Italy,4.6,2588.24,4.7,1018.46,Spain,2.18,7292.84,2.2,3524.35,The Draw,3,79742.53,3.05,63584.81,63584.81,100.9440%,-0.0093519
2016-06-26T21:59:21Z,1.125317176,England,1.59,8180.98,1.6,8742.61,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3744.62,3.85,616.19,616.19,100.5725%,-0.0056925
2016-06-26T21:59:23Z,1.125363729,Poland,3.9,570.42,4,465.15,Portugal,2.36,558.66,2.4,7135.61,The Draw,3.05,94.91,3.1,16294.32,16294.32,100.8008%,-0.0079443
2016-06-26T21:59:27Z,1.125318341,France,1.54,138959.8,1.55,10449.38,Rep of Ireland,10,3262.19,10.5,27904.81,The Draw,3.9,18885.07,3.95,6515.14,6515.14,100.5761%,-0.0057279
2016-06-26T21:59:29Z,1.12531775,Germany,1.49,73477.99,1.5,27271.23,Slovakia,10.5,4867.41,11,6367.8,The Draw,4.2,4597.98,4.3,23015.96,23015.96,100.4474%,-0.0044543
2016-06-26T21:59:31Z,1.125318745,Hungary,7.2,3036.16,7.4,3658.84,Belgium,1.74,7196.31,1.75,1956.95,The Draw,3.4,15149.83,3.45,806.03,806.03,100.7719%,-0.0076601
2016-06-26T21:59:33Z,1.12530855,Italy,4.6,2588.24,4.7,1018.46,Spain,2.18,7292.84,2.2,3524.35,The Draw,3,79742.53,3.05,63584.81,63584.81,100.9440%,-0.0093519
2016-06-26T21:59:35Z,1.125317176,England,1.59,8180.98,1.6,8742.61,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3744.62,3.9,8591.95,8591.95,100.5725%,-0.0056925
2016-06-26T21:59:37Z,1.125363729,Poland,3.9,570.42,4,465.15,Portugal,2.36,558.66,2.4,7135.61,The Draw,3.05,94.91,3.1,16294.32,16294.32,100.8008%,-0.0079443
2016-06-26T21:59:40Z,1.125318341,France,1.54,138638.8,1.55,10842.04,Rep of Ireland,10,3271.32,10.5,27952.81,The Draw,3.9,18885.07,3.95,6515.14,6515.14,100.5761%,-0.0057279
2016-06-26T21:59:43Z,1.12531775,Germany,1.49,73462.3,1.5,27347.64,Slovakia,10.5,4867.41,11,6367.8,The Draw,4.2,4625.27,4.3,22988.67,22988.67,100.4474%,-0.0044543
2016-06-26T21:59:45Z,1.125318745,Hungary,7.2,3036.16,7.4,3658.84,Belgium,1.74,7207.45,1.76,15825.85,The Draw,3.4,14142.57,3.45,806.03,806.03,100.7719%,-0.0076601
2016-06-26T21:59:47Z,1.12530855,Italy,4.6,2588.24,4.7,1018.46,Spain,2.18,7292.84,2.2,3524.35,The Draw,3,79742.53,3.05,63584.81,63584.81,100.9440%,-0.0093519
2016-06-26T21:59:49Z,1.125317176,England,1.59,8180.98,1.6,8742.61,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3744.62,3.9,8591.95,8591.95,100.5725%,-0.0056925
2016-06-26T21:59:51Z,1.125363729,Poland,3.9,570.42,4,465.15,Portugal,2.36,558.66,2.4,7135.61,The Draw,3.05,94.91,3.1,16294.32,16294.32,100.8008%,-0.0079443
2016-06-26T21:59:54Z,1.125318341,France,1.54,138987.3,1.55,10449.38,Rep of Ireland,10,3214.72,10.5,27904.81,The Draw,3.9,18885.07,3.95,6515.14,6515.14,100.5761%,-0.0057279
2016-06-26T21:59:56Z,1.12531775,Germany,1.49,73462.3,1.5,27347.64,Slovakia,10.5,4867.41,11,6367.8,The Draw,4.2,4625.27,4.3,22988.67,22988.67,100.4474%,-0.0044543
2016-06-26T21:59:58Z,1.125318745,Hungary,7.2,3036.16,7.4,3658.84,Belgium,1.74,7684.41,1.75,1763.23,The Draw,3.4,15050.12,3.45,806.03,806.03,100.7719%,-0.0076601
2016-06-26T22:00:00Z,1.12530855,Italy,4.6,2588.24,4.7,1018.46,Spain,2.18,7292.84,2.2,3524.35,The Draw,3,79742.53,3.05,63584.81,63584.81,100.9440%,-0.0093519
2016-06-26T22:00:02Z,1.125317176,England,1.59,8180.98,1.6,8742.61,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3744.62,3.9,8591.95,8591.95,100.5725%,-0.0056925
2016-06-26T22:00:04Z,1.125363729,Poland,3.9,570.42,4,465.15,Portugal,2.36,558.66,2.4,7135.61,The Draw,3.05,94.91,3.1,16294.32,16294.32,100.8008%,-0.0079443
2016-06-26T22:00:08Z,1.125318341,France,1.54,155793.49,1.55,29191.97,Rep of Ireland,9.8,4806.73,10,580.03,The Draw,3.9,20366.05,3.95,6537.66,6537.66,100.7802%,-0.0077413
2016-06-26T22:00:10Z,1.12531775,Germany,1.49,73462.3,1.5,27296.51,Slovakia,10.5,4867.41,11,6367.8,The Draw,4.2,4607,4.3,23006.93,23006.93,100.4474%,-0.0044543
2016-06-26T22:00:12Z,1.125318745,Hungary,7.2,3036.16,7.4,3658.84,Belgium,1.74,7207.45,1.76,15825.85,The Draw,3.4,14142.57,3.45,806.03,806.03,100.7719%,-0.0076601
2016-06-26T22:00:14Z,1.12530855,Italy,4.6,2588.24,4.7,1018.46,Spain,2.18,7292.84,2.2,3506.95,The Draw,3,79742.53,3.05,63584.81,63584.81,100.9440%,-0.0093519
2016-06-26T22:00:16Z,1.125317176,England,1.59,8180.98,1.6,8769.31,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3744.62,3.85,589.46,589.46,100.5725%,-0.0056925
2016-06-26T22:00:19Z,1.125363729,Poland,3.95,182.6,4,438.35,Portugal,2.36,556.13,2.4,7300.91,The Draw,3.05,94.91,3.1,16521.38,16521.38,100.4762%,-0.0047397
2016-06-26T22:00:23Z,1.125318341,France,1.54,150618.12,1.55,32519.16,Rep of Ireland,10,2076,10.5,28584.98,The Draw,3.9,18878.77,3.95,6417.55,6417.55,100.5761%,-0.0057279
2016-06-26T22:00:25Z,1.12531775,Germany,1.49,73462.3,1.5,27185,Slovakia,10.5,4867.41,11,6367.8,The Draw,4.2,4567.18,4.3,22988.67,22988.67,100.4474%,-0.0044543
2016-06-26T22:00:27Z,1.125318745,Hungary,7.2,2916.47,7.4,3658.84,Belgium,1.75,790.45,1.76,15825.85,The Draw,3.4,14142.57,3.45,1084.36,1084.36,100.4435%,-0.0044155
2016-06-26T22:00:29Z,1.12530855,Italy,4.6,2584.59,4.7,1018.46,Spain,2.18,7292.84,2.2,3506.95,The Draw,3,79742.53,3.05,63578.81,63578.81,100.9440%,-0.0093519
2016-06-26T22:00:31Z,1.125317176,England,1.59,8180.98,1.6,8742.61,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3744.62,3.85,631.04,631.04,100.5725%,-0.0056925
2016-06-26T22:00:33Z,1.125363729,Poland,3.95,182.6,4,438.35,Portugal,2.36,556.13,2.4,7300.91,The Draw,3.05,94.91,3.1,16521.38,16521.38,100.4762%,-0.0047397
2016-06-26T22:00:36Z,1.125318341,France,1.54,149755.54,1.55,32358.47,Rep of Ireland,10,2076,10.5,28571.63,The Draw,3.9,18878.77,3.95,6413.72,6413.72,100.5761%,-0.0057279
2016-06-26T22:00:38Z,1.12531775,Germany,1.49,73462.3,1.5,27326.82,Slovakia,10.5,4867.41,11,6367.8,The Draw,4.2,4625.27,4.3,22988.67,22988.67,100.4474%,-0.0044543
2016-06-26T22:00:40Z,1.125318745,Hungary,7.2,3030.03,7.4,3658.84,Belgium,1.74,7684.41,1.75,165.98,The Draw,3.4,14228.01,3.45,793.25,793.25,100.7719%,-0.0076601
2016-06-26T22:00:43Z,1.12530855,Italy,4.6,2584.59,4.7,1018.46,Spain,2.18,7292.84,2.2,3506.95,The Draw,3,79742.53,3.05,63578.81,63578.81,100.9440%,-0.0093519
2016-06-26T22:00:45Z,1.125317176,England,1.59,8180.98,1.6,8742.61,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3744.62,3.85,20.78,20.78,100.5725%,-0.0056925
2016-06-26T22:00:47Z,1.125363729,Poland,3.95,182.6,4,438.35,Portugal,2.36,556.13,2.4,7315.75,The Draw,3.05,94.91,3.1,16521.38,16521.38,100.4762%,-0.0047397
2016-06-26T22:00:50Z,1.125318341,France,1.54,150625.55,1.55,32519.16,Rep of Ireland,10,1984.7,10.5,28576.47,The Draw,3.9,18878.77,3.95,6417.55,6417.55,100.5761%,-0.0057279
2016-06-26T22:00:52Z,1.12531775,Germany,1.49,73462.3,1.5,27330.48,Slovakia,10.5,4867.41,11,6367.8,The Draw,4.2,4625.27,4.3,22988.67,22988.67,100.4474%,-0.0044543
2016-06-26T22:00:54Z,1.125318745,Hungary,7.2,3014.58,7.4,3658.84,Belgium,1.74,7684.41,1.75,57.81,The Draw,3.4,14172.33,3.45,761.01,761.01,100.7719%,-0.0076601
2016-06-26T22:00:56Z,1.12530855,Italy,4.6,2584.59,4.7,1018.46,Spain,2.18,7292.84,2.2,3506.95,The Draw,3,79742.53,3.05,63578.81,63578.81,100.9440%,-0.0093519
2016-06-26T22:00:58Z,1.125317176,England,1.59,8180.98,1.6,8723.66,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3715.79,3.85,572.39,572.39,100.5725%,-0.0056925
2016-06-26T22:01:00Z,1.125363729,Poland,3.95,182.6,4,438.35,Portugal,2.36,556.13,2.4,7315.75,The Draw,3.05,94.91,3.1,16521.38,16521.38,100.4762%,-0.0047397
2016-06-26T22:01:05Z,1.125318341,France,1.54,150577.27,1.55,26222.14,Rep of Ireland,10,1988.36,10.5,28596.17,The Draw,3.9,18878.77,3.95,6454.07,6454.07,100.5761%,-0.0057279
2016-06-26T22:01:06Z,1.12531775,Germany,1.49,73528.52,1.5,27417.98,Slovakia,10.5,4867.41,11,6367.8,The Draw,4.2,4773.48,4.3,22892.42,22892.42,100.4474%,-0.0044543
2016-06-26T22:01:08Z,1.125318745,Hungary,7.2,2914.69,7.4,3658.84,Belgium,1.75,797.76,1.76,15808.3,The Draw,3.4,14142.57,3.45,1064.31,1064.31,100.4435%,-0.0044155
2016-06-26T22:01:10Z,1.12530855,Italy,4.6,2584.59,4.7,943.32,Spain,2.18,7292.84,2.2,3506.95,The Draw,3,79624.8,3.05,63578.81,63578.81,100.9440%,-0.0093519
2016-06-26T22:01:13Z,1.125317176,England,1.59,8180.98,1.6,8769.31,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3744.62,3.85,20.78,20.78,100.5725%,-0.0056925
2016-06-26T22:01:15Z,1.125363729,Poland,3.95,182.6,4,438.35,Portugal,2.36,556.13,2.4,7315.75,The Draw,3.05,94.91,3.1,16521.38,16521.38,100.4762%,-0.0047397
2016-06-26T22:01:19Z,1.125318341,France,1.54,149671.2,1.55,32709.39,Rep of Ireland,10,2768.31,10.5,28523.09,The Draw,3.9,18878.77,3.95,6366.22,6366.22,100.5761%,-0.0057279
2016-06-26T22:01:22Z,1.12531775,Germany,1.49,73462.3,1.5,25680.93,Slovakia,10.5,4867.41,11,6367.8,The Draw,4.2,4038.75,4.3,22961.17,22961.17,100.4474%,-0.0044543
2016-06-26T22:01:24Z,1.125318745,Hungary,7.2,2806.43,7.4,3658.84,Belgium,1.74,7721.79,1.76,14869.93,The Draw,3.4,14142.57,3.45,738.14,738.14,100.7719%,-0.0076601
2016-06-26T22:01:26Z,1.12530855,Italy,4.6,2584.59,4.7,1018.46,Spain,2.18,7292.84,2.2,3506.95,The Draw,3,79742.53,3.05,63578.81,63578.81,100.9440%,-0.0093519
2016-06-26T22:01:27Z,1.125317176,England,1.59,8180.98,1.6,8723.66,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3715.79,3.9,8591.95,8591.95,100.5725%,-0.0056925
2016-06-26T22:01:29Z,1.125363729,Poland,3.95,182.6,4,435.49,Portugal,2.36,488.98,2.4,7315.75,The Draw,3.05,94.91,3.1,16521.38,16521.38,100.4762%,-0.0047397
2016-06-26T22:01:33Z,1.125318341,France,1.54,148984.48,1.55,32449.97,Rep of Ireland,10,2647.59,10.5,28430.87,The Draw,3.9,18869.64,3.95,6357.09,6357.09,100.5761%,-0.0057279
2016-06-26T22:01:35Z,1.12531775,Germany,1.49,73267.65,1.5,27149.27,Slovakia,10.5,4867.41,11,6368.63,The Draw,4.2,4735.31,4.3,22892.42,22892.42,100.4474%,-0.0044543
2016-06-26T22:01:37Z,1.125318745,Hungary,7.2,2837.61,7.4,3658.84,Belgium,1.75,190,1.76,14869.93,The Draw,3.4,14142.57,3.45,815.69,815.69,100.4435%,-0.0044155
2016-06-26T22:01:39Z,1.12530855,Italy,4.6,2584.59,4.7,912.13,Spain,2.18,7292.84,2.2,3506.95,The Draw,3,79575.95,3.05,63578.81,63578.81,100.9440%,-0.0093519
2016-06-26T22:01:41Z,1.125317176,England,1.59,8180.98,1.6,8723.66,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3715.79,3.9,8591.95,8591.95,100.5725%,-0.0056925
