2016-06-28T00:02:19Z,1.125368561,Wales,6.0,419.82,6.2,22.58,Belgium,1.77,3315.83,1.78,852.1,The Draw,3.65,1541.99,3.7,4996.67,
2016-06-28T00:02:22Z,1.125308550,Italy,4.4,20487.56,4.5,8624.63,Spain,2.26,48785.61,2.28,19275.93,The Draw,2.96,17867.3,2.98,5472.36,
2016-06-28T00:02:24Z,1.125317176,England,1.52,126721.95,1.53,86940.07,Iceland,9.6,5161.92,9.8,7969.92,The Draw,4.1,18787.46,4.2,18913.88,
2016-06-28T00:02:26Z,1.125363729,Poland,4.1,5202.5,4.2,11458.12,Portugal,2.28,2145.78,2.3,4525.69,The Draw,3.05,14544.65,3.1,55900.76,
2016-06-28T00:02:28Z,1.125368561,Wales,6.0,419.82,6.2,22.58,Belgium,1.77,3315.83,1.78,852.1,The Draw,3.65,1541.99,3.7,4996.67,
2016-06-28T00:02:32Z,1.125308550,Italy,4.4,16824.86,4.5,13012.62,Spain,2.28,4080.8,2.3,46665.51,The Draw,2.96,16947.4,2.98,5521.71,
2016-06-28T00:02:34Z,1.125317176,England,1.52,128285.37,1.53,86995.21,Iceland,9.6,5158.35,9.8,7678.91,The Draw,4.1,18690.49,4.2,18899.61,
2016-06-28T00:02:36Z,1.125363729,Poland,4.1,5202.5,4.2,11458.12,Portugal,2.28,2145.78,2.3,4525.69,The Draw,3.05,14544.65,3.1,55900.76,
2016-06-28T00:02:38Z,1.125368561,Wales,6.0,419.82,6.2,22.58,Belgium,1.77,3315.83,1.78,852.1,The Draw,3.65,1541.99,3.7,4996.67,
2016-06-28T00:02:42Z,1.125308550,Italy,4.4,20177.09,4.5,9216.42,Spain,2.26,33391.22,2.28,19908.95,The Draw,2.96,17858.39,2.98,4922.57,
2016-06-28T00:02:44Z,1.125317176,England,1.52,128199.79,1.53,86941.97,Iceland,9.6,5158.35,9.8,7955.28,The Draw,4.1,18656.61,4.2,18896.05,
2016-06-28T00:02:46Z,1.125363729,Poland,4.1,5202.5,4.2,11458.12,Portugal,2.28,2145.78,2.3,4525.69,The Draw,3.05,14544.65,3.1,55900.76,
2016-06-28T00:02:48Z,1.125368561,Wales,6.0,419.82,6.2,22.58,Belgium,1.77,3315.83,1.78,852.1,The Draw,3.65,1541.99,3.7,4996.67,
2016-06-28T00:02:52Z,1.125308550,Italy,4.4,20177.09,4.5,9216.42,Spain,2.26,33383.73,2.28,19919.65,The Draw,2.96,17858.39,2.98,4922.57,
2016-06-28T00:02:54Z,1.125317176,England,1.52,128285.37,1.53,86911.15,Iceland,9.6,5147.6,9.8,7671.13,The Draw,4.1,18681.99,4.2,18896.05,
